Japhet Amador, 2114135, None, H, 1B|U
Tate Matheny, 2739962, None, H, OF|U
Ronny Rojas, 28846887, None, H, SS|U
Tyler White, 2215849, None, H, 1B|U
Joe Sclafani, 2166481, None, H, 3B|U
Stephen Gaylor, 2803299, None, H, OF|U
Warming Bernabel, 26912504, None, H, 3B|U
Jim Adduci, 549732, None, H, OF|U
Michael Osinski, 2837313, None, H, 3B|U
Ryan Cermak, 29075766, None, H, OF|U
Alex Swim, 2171824, None, H, C|U
Jantzen Witte, 2169892, None, H, 1B|U
Trevor Plouffe, 1103761, None, H, 3B|U
Jacob Hannemann, 2121098, None, H, OF|U
Craig Dedelow, 2836792, None, H, OF|U
Justin Seager, 2791770, None, H, 1B|U
Alex Lavisky, 2120276, None, H, C|U
Peyton Graham, 29075753, None, H, SS|U
Jeremy Vasquez, 2837631, None, H, 1B|U
Jeferson Quero, 26912481, None, H, C|U
Logan Driscoll, 3157626, None, H, C|U
Paul Witt, 28843189, None, H, SS|U
Luis Rodriguez, 2825537, None, H, OF|U
Seaver Whalen, 2837674, None, H, 3B|U
Jason Leblebijian, 2226890, None, H, 2B|U
Yhoswar Garcia, 26912468, None, H, OF|U
Sahid Valenzuela, 28842428, None, H, SS|U
Daniel Schneemann, 3107152, None, H, SS|U
Danny Lantigua, 2868319, None, H, OF|U
Andrew Bechtold, 2836585, None, H, 3B|U
Connor Marabell, 2228482, None, H, OF|U
Jeff Boehm, 2227125, None, H, 2B|U
Logan Cerny, 26911714, None, H, OF|U
Wilfred Veras, 26912490, None, H, 1B|U
Carlos Mesa, 2118879, None, H, OF|U
Ramiro Rodriguez, 2825548, None, H, OF|U
Jake Boone, 2836629, None, H, SS|U
Orelvis Martinez, 3152049, None, H, SS|U
Erick Brito, 28846881, None, H, SS|U
Josh Rapacz, 2804674, None, H, C|U
Logan Tanner, 29075728, None, H, C|U
Ryan Hissey, 2823420, None, H, C|U
Bruce Caldwell, 2227772, None, H, 2B|U
Tyler Hardman, 2836963, None, H, 1B|U
Edmond Americaan, 2836541, None, H, OF|U
