IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,BREFID,ESPNID,ESPNNAME,BPID,FANTPROSNAME,LASTCOMMAFIRST,RAZZBALLNAME
zavalaa01,Aaron Zavala,Aaron,Zavala,sa3017665,Aaron Zavala,701648,Aaron Zavala,26911720,Aaron Zavala,zavalaa01,,Aaron Zavala,,Aaron Zavala,"Zavala, Aaron",Aaron Zavala
alexyaj01,A.J. Alexy,A.J.,Alexy,22343,A.J. Alexy,669935,A.J. Alexy,3077703,A.J. Alexy,alexyaj01,,A.J. Alexy,108820,A.J. Alexy,"Alexy, A.J.",A.J. Alexy
minteaj01,A.J. Minter,A.J.,Minter,18655,A.J. Minter,621345,A.J. Minter,2449982,A.J. Minter,minteaj01,36133,A.J. Minter,108235,A.J. Minter,"Minter, A.J.",A.J. Minter
polloaj01,A.J. Pollock,A.J.,Pollock,9256,AJ Pollock,572041,A.J. Pollock,1740992,A.J. Pollock,polloaj01,30699,A.J. Pollock,60932,AJ Pollock,"Pollock, A.J.",AJ Pollock
pukaj01,A.J. Puk,A.J.,Puk,19343,A.J. Puk,640462,A.J. Puk,2250620,A.J. Puk,pukaj01,36201,A.J. Puk,109027,A.J. Puk,"Puk, A.J.",A.J. Puk
ashbyaa01,Aaron Ashby,Aaron,Ashby,23550,Aaron Ashby,676879,Aaron Ashby,2836553,Aaron Ashby,ashbyaa01,,Aaron Ashby,112434,Aaron Ashby,"Ashby, Aaron",Aaron Ashby
bummeaa01,Aaron Bummer,Aaron,Bummer,16258,Aaron Bummer,607481,Aaron Bummer,2637180,Aaron Bummer,bummeaa01,36131,Aaron Bummer,71057,Aaron Bummer,"Bummer, Aaron",Aaron Bummer
civalaa01,Aaron Civale,Aaron,Civale,19479,Aaron Civale,650644,Aaron Civale,2507332,Aaron Civale,civalaa01,40934,Aaron Civale,107636,Aaron Civale,"Civale, Aaron",Aaron Civale
hicksaa01,Aaron Hicks,Aaron,Hicks,5297,Aaron Hicks,543305,Aaron Hicks,1669559,Aaron Hicks,hicksaa01,31253,Aaron Hicks,57967,Aaron Hicks,"Hicks, Aaron",Aaron Hicks
judgeaa01,Aaron Judge,Aaron,Judge,15640,Aaron Judge,592450,Aaron Judge,2071264,Aaron Judge,judgeaa01,33192,Aaron Judge,68603,Aaron Judge,"Judge, Aaron",Aaron Judge
loupaa01,Aaron Loup,Aaron,Loup,10343,Aaron Loup,571901,Aaron Loup,1960798,Aaron Loup,loupaa01,32397,Aaron Loup,60619,Aaron Loup,"Loup, Aaron",Aaron Loup
nolaaa01,Aaron Nola,Aaron,Nola,16149,Aaron Nola,605400,Aaron Nola,2133925,Aaron Nola,nolaaa01,33709,Aaron Nola,70943,Aaron Nola,"Nola, Aaron",Aaron Nola
sanchaa01,Aaron Sanchez,Aaron,Sanchez,11490,Aaron Sanchez,592717,Aaron Sanchez,1757987,Aaron Sanchez,sanchaa01,31254,Aaron Sanchez,67107,Aaron Sanchez,"Sanchez, Aaron",Aaron Sanchez
almonab01,Abraham Almonte,Abraham,Almonte,5486,Abraham Almonte,501659,Abraham Almonte,1813191,Abraham Almonte,almonab01,31474,Abraham Almonte,50910,Abraham Almonte,"Almonte, Abraham",Abraham Almonte
toroab01,Abraham Toro,Abraham,Toro,19844,Abraham Toro,647351,Abraham Toro,2921390,Abraham Toro-Hernandez,toroab01,40754,Abraham Toro,109090,Abraham Toro,"Toro, Abraham",Abraham Toro
mondera02,Adalberto Mondesi,Adalberto,Mondesi,13769,Adalberto Mondesi,609275,Adalberto Mondesi,2044531,Adalberto Mondesi,mondera02,32821,Adalberto Mondesi,100344,Adalberto Mondesi,"Mondesi, Adalberto",Adalberto Mondesi
cimbead01,Adam Cimber,Adam,Cimber,15288,Adam Cimber,643256,Adam Cimber,2228215,Adam Cimber,cimbead01,35780,Adam Cimber,103333,Adam Cimber,"Cimber, Adam",Adam Cimber
duvalad01,Adam Duvall,Adam,Duvall,10950,Adam Duvall,594807,Adam Duvall,2042091,Adam Duvall,duvalad01,32664,Adam Duvall,67744,Adam Duvall,"Duvall, Adam",Adam Duvall
engelad01,Adam Engel,Adam,Engel,15082,Adam Engel,641553,Adam Engel,2169649,Adam Engel,engelad01,34064,Adam Engel,102578,Adam Engel,"Engel, Adam",Adam Engel
fraziad01,Adam Frazier,Adam,Frazier,15223,Adam Frazier,624428,Adam Frazier,2121473,Adam Frazier,fraziad01,33546,Adam Frazier,101618,Adam Frazier,"Frazier, Adam",Adam Frazier
haselad01,Adam Haseley,Adam,Haseley,19878,Adam Haseley,656514,Adam Haseley,2835060,Adam Haseley,haselad01,41082,Adam Haseley,109984,Adam Haseley,"Haseley, Adam",Adam Haseley
kolarad01,Adam Kolarek,Adam,Kolarek,10843,Adam Kolarek,592473,Adam Kolarek,2113634,Adam Kolarek,kolarad01,33130,Adam Kolarek,67034,Adam Kolarek,"Kolarek, Adam",Adam Kolarek
ollerad01,Adam Oller,Adam,Oller,20132,Adam Oller,670124,Adam Oller,26861446,Adam Oller,ollerad01,,Adam Oller,108325,Adam Oller,"Oller, Adam",Adam Oller
ottavad01,Adam Ottavino,Adam,Ottavino,1247,Adam Ottavino,493603,Adam Ottavino,1537191,Adam Ottavino,ottavad01,29705,Adam Ottavino,51434,Adam Ottavino,"Ottavino, Adam",Adam Ottavino
plutkad01,Adam Plutko,Adam,Plutko,15846,Adam Plutko,592644,Adam Plutko,2169611,Adam Plutko,plutkad01,34955,Adam Plutko,68656,Adam Plutko,"Plutko, Adam",Adam Plutko
wainwad01,Adam Wainwright,Adam,Wainwright,2233,Adam Wainwright,425794,Adam Wainwright,389743,Adam Wainwright,wainwad01,5403,Adam Wainwright,31361,Adam Wainwright,"Wainwright, Adam",Adam Wainwright
alzolad01,Adbert Alzolay,Adbert,Alzolay,17859,Adbert Alzolay,640470,Adbert Alzolay,2821213,Adbert Alzolay,alzolad01,39802,Adbert Alzolay,102443,Adbert Alzolay,"Alzolay, Adbert",Adbert Alzolay
bargead01,Addison Barger,Addison,Barger,sa3006910,Addison Barger,680718,Addison Barger,2932270,Addison Barger,bargead01,,Addison Barger,112867,Addison Barger,"Barger, Addison",Addison Barger
russead02,Addison Russell,Addison,Russell,14106,Addison Russell,608365,Addison Russell,2000032,Addison Russell,russead02,32656,Addison Russell,70633,Addison Russell,"Russell, Addison",Addison Russell
rutscad01,Adley Rutschman,Adley,Rutschman,26288,Adley Rutschman,668939,Adley Rutschman,3117469,Adley Rutschman,rutscad01,42178,Adley Rutschman,135527,Adley Rutschman,"Rutschman, Adley",Adley Rutschman
garciad02,Adolis Garcia,Adolis,Garcia,19287,Adolis Garcia,666969,Adolis Garcia,2728643,Adolis Garcia,garciad02,35537,Adolis Garcia,109860,Adolis Garcia,"Garcia, Adolis",Adolis Garcia
medinad01,Adonis Medina,Adonis,Medina,19903,Adonis Medina,658431,Adonis Medina,2211791,Adonis Medina,medinad01,34978,Adonis Medina,105321,Adonis Medina,"Medina, Adonis",Adonis Medina
housead01,Adrian Houser,Adrian,Houser,12718,Adrian Houser,605288,Adrian Houser,1947840,Adrian Houser,housead01,32157,Adrian Houser,69545,Adrian Houser,"Houser, Adrian",Adrian Houser
martiad01,Adrian Martinez,Adrian,Martinez,21023,Adrian Martinez,661309,Adrian Martinez,2686144,Adrian Martinez,martiad01,,Adrian Martinez,106391,Adrian Martinez,"Martinez, Adrian",Adrian Martinez
morejad01,Adrian Morejon,Adrian,Morejon,20039,Adrian Morejon,670970,Adrian Morejon,2803408,Adrian Morejon,morejad01,40917,Adrian Morejon,109125,Adrian Morejon,"Morejon, Adrian",Adrian Morejon
sampsad01,Adrian Sampson,Adrian,Sampson,13339,Adrian Sampson,592716,Adrian Sampson,2166172,Adrian Sampson,sampsad01,33677,Adrian Sampson,70885,Adrian Sampson,"Sampson, Adrian",Adrian Sampson
baddoak01,Akil Baddoo,Akil,Baddoo,22168,Akil Baddoo,668731,Akil Baddoo,2449452,Akil Baddoo,baddoak01,40634,Akil Baddoo,107439,Akil Baddoo,"Baddoo, Akil",Akil Baddoo
trejoal01,Alan Trejo,Alan,Trejo,20056,Alan Trejo,676701,Alan Trejo,2837612,Alan Trejo,trejoal01,,Alan Trejo,110964,Alan Trejo,"Trejo, Alan",Alan Trejo
abreual01,Albert Abreu,Albert,Abreu,17485,Albert Abreu,656061,Albert Abreu,2211792,Albert Abreu,abreual01,36041,Albert Abreu,104651,Albert Abreu,"Abreu, Albert",Albert Abreu
almoral01,Albert Almora,Albert,Almora,14109,Albert Almora Jr.,546991,Albert Almora,2000031,Albert Almora,almoral01,32686,Albert Almora,70339,Albert Almora Jr.,"Almora, Albert",Albert Almora Jr.
pujolal01,Albert Pujols,Albert,Pujols,1177,Albert Pujols,405395,Albert Pujols,223571,Albert Pujols,pujolal01,4574,Albert Pujols,204,Albert Pujols,"Pujols, Albert",Albert Pujols
escobal02,Alcides Escobar,Alcides,Escobar,6310,Alcides Escobar,444876,Alcides Escobar,547241,Alcides Escobar,escobal02,29229,Alcides Escobar,47625,Alcides Escobar,"Escobar, Alcides",Alcides Escobar
bohmal01,Alec Bohm,Alec,Bohm,21618,Alec Bohm,664761,Alec Bohm,2942960,Alec Bohm,bohmal01,41169,Alec Bohm,113905,Alec Bohm,"Bohm, Alec",Alec Bohm
burleal01,Alec Burleson,Alec,Burleson,27615,Alec Burleson,676475,Alec Burleson,26615325,Alec Burleson,burleal01,,Alec Burleson,114833,Alec Burleson,"Burleson, Alec",Alec Burleson
hanseal01,Alec Hansen,Alec,Hansen,sa738344,Alec Hansen,641662,Alec Hansen,2453261,Alec Hansen,hanseal01,39883,Alec Hansen,107921,Alec Hansen,"Hansen, Alec",Alec Hansen
millsal02,Alec Mills,Alec,Mills,13834,Alec Mills,621219,Alec Mills,2210232,Alec Mills,millsal02,34863,Alec Mills,100555,Alec Mills,"Mills, Alec",Alec Mills
diazal02,Aledmys Diaz,Aledmys,Diaz,15937,Aledmys Diaz,649557,Aledmys Diaz,2119877,Aledmys Diaz,diazal02,33390,Aledmys Diaz,34706,Aledmys Diaz,"Diaz, Aledmys",Aledmys Diaz
kirkal01,Alejandro Kirk,Alejandro,Kirk,22581,Alejandro Kirk,672386,Alejandro Kirk,2875260,Alejandro Kirk,kirkal01,42081,Alejandro Kirk,111216,Alejandro Kirk,"Kirk, Alejandro",Alejandro Kirk
lopezal03,Alejo Lopez,Alejo,Lopez,21127,Alejo Lopez,664670,Alejo Lopez,3103877,Alejo Lopez,lopezal03,,Alejo Lopez,107233,Alejo Lopez,"Lopez, Alejo",Alejo Lopez
manoaal01,Alek Manoah,Alek,Manoah,26410,Alek Manoah,666201,Alek Manoah,3117538,Alek Manoah,manoaal01,42436,Alek Manoah,127605,Alek Manoah,"Manoah, Alek",Alek Manoah
thomaal01,Alek Thomas,Alek,Thomas,23792,Alek Thomas,677950,Alek Thomas,2932056,Alek Thomas,thomaal01,41215,Alek Thomas,138635,Alek Thomas,"Thomas, Alek",Alek Thomas
bregmal01,Alex Bregman,Alex,Bregman,17678,Alex Bregman,608324,Alex Bregman,2184351,Alex Bregman,bregmal01,34886,Alex Bregman,70607,Alex Bregman,"Bregman, Alex",Alex Bregman
callal02,Alex Call,Alex,Call,19296,Alex Call,669743,Alex Call,2507195,Alex Call,callal02,,Alex Call,107566,Alex Call,"Call, Alex",Alex Call
claudal01,Alex Claudio,Alex,Claudio,12890,Alex Claudio,592222,Alex Claudio,2143302,Alex Claudio,claudal01,33628,Alex Claudio,66960,Alex Claudio,"Claudio, Alex",Alex Claudio
cobbal01,Alex Cobb,Alex,Cobb,6562,Alex Cobb,502171,Alex Cobb,1784973,Alex Cobb,cobbal01,31086,Alex Cobb,50167,Alex Cobb,"Cobb, Alex",Alex Cobb
colomal01,Alex Colome,Alex,Colome,6661,Alex Colome,517008,Alex Colome,1739607,Alex Colome,colomal01,31255,Alex Colome,55735,Alex Colome,"Colome, Alex",Alex Colome
dickeal01,Alex Dickerson,Alex,Dickerson,12649,Alex Dickerson,543105,Alex Dickerson,2050338,Alex Dickerson,dickeal01,32956,Alex Dickerson,65961,Alex Dickerson,"Dickerson, Alex",Alex Dickerson
faedoal01,Alex Faedo,Alex,Faedo,19874,Alex Faedo,656412,Alex Faedo,2835070,Alex Faedo,faedoal01,,Alex Faedo,111310,Alex Faedo,"Faedo, Alex",Alex Faedo
jacksal02,Alex Jackson,Alex,Jackson,17276,Alex Jackson,656577,Alex Jackson,2135245,Alex Jackson,jacksal02,33707,Alex Jackson,104814,Alex Jackson,"Jackson, Alex",Alex Jackson
kirilal01,Alex Kirilloff,Alex,Kirilloff,20325,Alex Kirilloff,666135,Alex Kirilloff,2250600,Alex Kirilloff,kirilal01,40636,Alex Kirilloff,108055,Alex Kirilloff,"Kirilloff, Alex",Alex Kirilloff
langeal01,Alex Lange,Alex,Lange,19883,Alex Lange,656638,Alex Lange,2837106,Alex Lange,langeal01,,Alex Lange,111164,Alex Lange,"Lange, Alex",Alex Lange
reyesal01,Alex Reyes,Alex,Reyes,15015,Alex Reyes,621052,Alex Reyes,2117043,Alex Reyes,reyesal02,33213,Alex Reyes,102123,Alex Reyes,"Reyes, Alex",Alex Reyes
verdual01,Alex Verdugo,Alex,Verdugo,17027,Alex Verdugo,657077,Alex Verdugo,2167479,Alex Verdugo,verdual01,33786,Alex Verdugo,104938,Alex Verdugo,"Verdugo, Alex",Alex Verdugo
vesiaal01,Alex Vesia,Alex,Vesia,25007,Alex Vesia,681911,Alex Vesia,2933171,Alex Vesia,vesiaal01,,Alex Vesia,139955,Alex Vesia,"Vesia, Alex",Alex Vesia
woodal02,Alex Wood,Alex,Wood,13781,Alex Wood,622072,Alex Wood,2036154,Alex Wood,woodal02,32620,Alex Wood,100718,Alex Wood,"Wood, Alex",Alex Wood
youngal01,Alex Young,Alex,Young,18333,Alex Young,622065,Alex Young,2211246,Alex Young,youngal01,34972,Alex Young,107169,Alex Young,"Young, Alex",Alex Young
canaral01,Alexander Canario,Alexander,Canario,sa3003316,Alexander Canario,672744,Alexander Canario,2828978,Alexander Canario,canaral01,,Alexander Canario,109543,Alexander Canario,"Canario, Alexander",Conner Capel
diazal03,Alexis Diaz,Alexis,Diaz,21132,Alexis Diaz,664747,Alexis Diaz,26861431,Alexis Diaz,diazal03,,Alexis Diaz,105859,Alexis Diaz,"Diaz, Alexis",Alexis Diaz
rivasal01,Alfonso Rivas,Alfonso,Rivas,21560,Alfonso Rivas,663845,Alfonso Rivas,3097059,Alfonso Rivas,rivasal01,,Alfonso Rivas,134357,Alfonso Rivas,"Rivas, Alfonso",Alfonso Rivas
rosaram01,Amed Rosario,Amed,Rosario,15518,Amed Rosario,642708,Amed Rosario,2117042,Amed Rosario,rosaram01,33215,Amed Rosario,103203,Amed Rosario,"Rosario, Amed",Amed Rosario
garream01,Amir Garrett,Amir,Garrett,14375,Amir Garrett,607237,Amir Garrett,2053474,Amir Garrett,garream01,33652,Amir Garrett,70946,Amir Garrett,"Garrett, Amir",Amir Garrett
espinan01,Anderson Espinoza,Anderson,Espinoza,sa872856,Anderson Espinoza,659262,Anderson Espinoza,2211779,Anderson Espinoza,espinan01,34987,Anderson Espinoza,105921,Anderson Espinoza,"Espinoza, Anderson",Anderson Espinoza
tejedan01,Anderson Tejeda,Anderson,Tejeda,19909,Anderson Tejeda,660731,Anderson Tejeda,2507356,Anderson Tejeda,tejedan01,37819,Anderson Tejeda,107006,Anderson Tejeda,"Tejeda, Anderson",Anderson Tejeda
jacksan01,Andre Jackson,Andre,Jackson,21298,Andre Jackson,656578,Andre Jackson,2837030,Andre Jackson,jacksan01,,Andre Jackson,124458,Andre Jackson,"Jackson, Andre",Andre Jackson
pallaan01,Andre Pallante,Andre,Pallante,26108,Andre Pallante,669467,Andre Pallante,26615439,Andre Pallante,pallaan01,,Andre Pallante,131748,Andre Pallante,"Pallante, Andre",Andre Pallante
simmoan01,Andrelton Simmons,Andrelton,Simmons,10847,Andrelton Simmons,592743,Andrelton Simmons,1918584,Andrelton Simmons,simmoan01,31728,Andrelton Simmons,67119,Andrelton Simmons,"Simmons, Andrelton",Andrelton Simmons
gimenan01,Andres Gimenez,Andres,Gimenez,19950,Andres Gimenez,665926,Andres Gimenez,2507353,Andres Gimenez,gimenan01,37729,Andres Gimenez,107858,Andres Gimenez,"Gimenez, Andres",Andres Gimenez
machaan02,Andres Machado,Andres,Machado,14681,Andres Machado,600921,Andres Machado,2824015,Andres Machado,machaan02,,Andres Machado,70416,Andres Machado,"Machado, Andres",Andres Machado
munozan01,Andres Munoz,Andres,Munoz,20373,Andres Munoz,662253,Andres Munoz,2910638,Andres Munoz,munozan01,40939,Andres Munoz,108274,Andres Munoz,"Munoz, Andres",Andres Munoz
beninan01,Andrew Benintendi,Andrew,Benintendi,17901,Andrew Benintendi,643217,Andrew Benintendi,2184354,Andrew Benintendi,beninan01,34986,Andrew Benintendi,105574,Andrew Benintendi,"Benintendi, Andrew",Andrew Benintendi
chafian01,Andrew Chafin,Andrew,Chafin,12988,Andrew Chafin,605177,Andrew Chafin,1967936,Andrew Chafin,chafian01,32810,Andrew Chafin,70436,Andrew Chafin,"Chafin, Andrew",Andrew Chafin
heanean01,Andrew Heaney,Andrew,Heaney,15423,Andrew Heaney,571760,Andrew Heaney,2036439,Andrew Heaney,heanean01,32672,Andrew Heaney,99874,Andrew Heaney,"Heaney, Andrew",Andrew Heaney
kittran01,Andrew Kittredge,Andrew,Kittredge,12828,Andrew Kittredge,552640,Andrew Kittredge,2228478,Andrew Kittredge,kittran01,35872,Andrew Kittredge,59541,Andrew Kittredge,"Kittredge, Andrew",Andrew Kittredge
knappan01,Andrew Knapp,Andrew,Knapp,14942,Andrew Knapp,595284,Andrew Knapp,2066819,Andrew Knapp,knappan01,33304,Andrew Knapp,68908,Andrew Knapp,"Knapp, Andrew",Andrew Knapp
kniznan01,Andrew Knizner,Andrew,Knizner,19514,Andrew Knizner,668800,Andrew Knizner,2699270,Andrew Knizner,kniznan01,36170,Andrew Knizner,108059,Andrew Knizner,"Knizner, Andrew",Andrew Knizner
mccutan01,Andrew McCutchen,Andrew,McCutchen,9847,Andrew McCutchen,457705,Andrew McCutchen,1103290,Andrew McCutchen,mccutan01,28701,Andrew McCutchen,46400,Andrew McCutchen,"McCutchen, Andrew",Andrew McCutchen
paintan01,Andrew Painter,Andrew,Painter,sa3017880,Andrew Painter,691725,Andrew Painter,26719591,Andrew Painter,paintan01,,Andrew Painter,148309,Andrew Painter,"Painter, Andrew",Andrew Painter
politan01,Andrew Politi,Andrew,Politi,sa3007243,Andrew Politi,681555,Andrew Politi,2933023,Andrew Politi,politan01,,Andrew Politi,133055,Andrew Politi,"Politi, Andrew",Andrew Politi
stevean01,Andrew Stevenson,Andrew,Stevenson,17932,Andrew Stevenson,664057,Andrew Stevenson,2211212,Andrew Stevenson,stevean01,35043,Andrew Stevenson,106961,Andrew Stevenson,"Stevenson, Andrew",Andrew Stevenson
suarean01,Andrew Suarez,Andrew,Suarez,18300,Andrew Suarez,605498,Andrew Suarez,2227137,Andrew Suarez,suarean01,35031,Andrew Suarez,70827,Andrew Suarez,"Suarez, Andrew",Andrew Suarez
susacan01,Andrew Susac,Andrew,Susac,13132,Andrew Susac,572180,Andrew Susac,1937573,Andrew Susac,susacan01,32062,Andrew Susac,70779,Andrew Susac,"Susac, Andrew",Andrew Susac
vaughan01,Andrew Vaughn,Andrew,Vaughn,26197,Andrew Vaughn,683734,Andrew Vaughn,3117474,Andrew Vaughn,vaughan01,,,142821,Andrew Vaughn,"Vaughn, Andrew",Andrew Vaughn
velazan01,Andrew Velazquez,Andrew,Velazquez,14196,Andrew Velazquez,623205,Andrew Velazquez,2120058,Andrew Velazquez,velazan01,35247,Andrew Velazquez,101281,Andrew Velazquez,"Velazquez, Andrew",Andrew Velazquez
ibanean01,Andy Ibanez,Andy,Ibanez,18819,Andy Ibanez,628451,Andy Ibanez,2507344,Andy Ibanez,ibanean01,,Andy Ibanez,102293,Andy Ibanez,"Ibanez, Andy",Andy Ibanez
alforan01,Anthony Alford,Anthony,Alford,14329,Anthony Alford,546990,Anthony Alford,2044547,Anthony Alford,alforan01,32812,Anthony Alford,100152,Anthony Alford,"Alford, Anthony",Anthony Alford
bandaan01,Anthony Banda,Anthony,Banda,14706,Anthony Banda,607455,Anthony Banda,2227751,Anthony Banda,bandaan01,34542,Anthony Banda,71071,Anthony Banda,"Banda, Anthony",Anthony Banda
bassan01,Anthony Bass,Anthony,Bass,7982,Anthony Bass,542914,Anthony Bass,1793606,Anthony Bass,bassan01,31144,Anthony Bass,58823,Anthony Bass,"Bass, Anthony",Anthony Bass
bemboan01,Anthony Bemboom,Anthony,Bemboom,13854,Anthony Bemboom,621532,Anthony Bemboom,2171288,Anthony Bemboom,bemboan01,34102,Anthony Bemboom,100659,Anthony Bemboom,"Bemboom, Anthony",Anthony Bemboom
bendean01,Anthony Bender,Anthony,Bender,19742,Anthony Bender,669622,Anthony Bender,26635138,Anthony Bender,bendean01,,Anthony Bender,108828,Anthony Bender,"Bender, Anthony",Anthony Bender
desclan01,Anthony DeSclafani,Anthony,DeSclafani,13050,Anthony DeSclafani,543101,Anthony DeSclafani,2117049,Anthony DeSclafani,desclan01,33180,Anthony DeSclafani,70803,Anthony DeSclafani,"DeSclafani, Anthony",Anthony DeSclafani
garcian02,Anthony Garcia,Anthony,Garcia,sa502038,Anthony Garcia,571685,Anthony Garcia,2046359,Anthony Garcia,garcian02,31825,Anthony Garcia,60687,Anthony Garcia,"Garcia, Anthony",Anthony Garcia
gosean01,Anthony Gose,Anthony,Gose,5097,Anthony Gose,543238,Anthony Gose,1758976,Anthony Gose,gosean01,31048,Anthony Gose,57905,Anthony Gose,"Gose, Anthony",Anthony Gose
kayan01,Anthony Kay,Anthony,Kay,20387,Anthony Kay,641743,Anthony Kay,2250616,Anthony Kay,kayan01,40947,Anthony Kay,109127,Anthony Kay,"Kay, Anthony",Anthony Kay
rendoan01,Anthony Rendon,Anthony,Rendon,12861,Anthony Rendon,543685,Anthony Rendon,1894625,Anthony Rendon,rendoan01,32098,Anthony Rendon,70755,Anthony Rendon,"Rendon, Anthony",Anthony Rendon
rizzoan01,Anthony Rizzo,Anthony,Rizzo,3473,Anthony Rizzo,519203,Anthony Rizzo,1670417,Anthony Rizzo,rizzoan01,30782,Anthony Rizzo,57514,Anthony Rizzo,"Rizzo, Anthony",Anthony Rizzo
santaan02,Anthony Santander,Anthony,Santander,14551,Anthony Santander,623993,Anthony Santander,2504134,Anthony Santander,santaan02,36084,Anthony Santander,101568,Anthony Santander,"Santander, Anthony",Anthony Santander
swarzan01,Anthony Swarzak,Anthony,Swarzak,7466,Anthony Swarzak,461872,Anthony Swarzak,1102983,Anthony Swarzak,swarzan01,30153,Anthony Swarzak,46761,Anthony Swarzak,"Swarzak, Anthony",Anthony Swarzak
volpean01,Anthony Volpe,Anthony,Volpe,sa3010868,Anthony Volpe,683011,Anthony Volpe,3117930,Anthony Volpe,volpean01,,Anthony Volpe,140156,Anthony Volpe,"Volpe, Anthony",Anthony Volpe
senzaan01,Antonio Senzatela,Antonio,Senzatela,15488,Antonio Senzatela,622608,Antonio Senzatela,2167335,Antonio Senzatela,senzaan01,33750,Antonio Senzatela,101060,Antonio Senzatela,"Senzatela, Antonio",Antonio Senzatela
garciar01,Aramis Garcia,Aramis,Garcia,16925,Aramis Garcia,605244,Aramis Garcia,2167291,Aramis Garcia,garciar01,33714,Aramis Garcia,70926,Aramis Garcia,"Garcia, Aramis",Aramis Garcia
bradlar01,Archie Bradley,Archie,Bradley,12918,Archie Bradley,605151,Archie Bradley,1894626,Archie Bradley,bradlar01,32518,Archie Bradley,70431,Archie Bradley,"Bradley, Archie",Archie Bradley
aquinar01,Aristides Aquino,Aristides,Aquino,15482,Aristides Aquino,606157,Aristides Aquino,2167457,Aristides Aquino,aquinar01,33785,Aristides Aquino,69634,Aristides Aquino,"Aquino, Aristides",Aristides Aquino
vizcaar01,Arodys Vizcaino,Arodys,Vizcaino,5498,Arodys Vizcaino,527055,Arodys Vizcaino,1730743,Arodys Vizcaino,vizcaar01,31087,Arodys Vizcaino,58775,Arodys Vizcaino,"Vizcaino, Arodys",Arodys Vizcaino
chapmar01,Aroldis Chapman,Aroldis,Chapman,10233,Aroldis Chapman,547973,Aroldis Chapman,1717646,Aroldis Chapman,chapmar01,30442,Aroldis Chapman,53014,Aroldis Chapman,"Chapman, Aroldis",Aroldis Chapman
warrear01,Art Warren,Art,Warren,18251,Art Warren,605521,Art Warren,2912223,Art Warren,warrear01,,Art Warren,107264,Art Warren,"Warren, Art",Art Warren
lacyas01,Asa Lacy,Asa,Lacy,sa3014423,Asa Lacy,669370,Asa Lacy,2837101,Asa Lacy,lacyas01,,,126047,Asa Lacy,"Lacy, Asa",Asa Lacy
adamsau02,Austin Adams,Austin,Adams,13801,Austin Adams,613534,Austin Adams,2444539,Austin Adams,adamsau02,31660,Austin Adams,59978,Austin Adams,"Adams, Austin",Austin Adams
allenau01,Austin Allen,Austin,Allen,18083,Austin Allen,664119,Austin Allen,2447462,Austin Allen,allenau01,39870,Austin Allen,105476,Austin Allen,"Allen, Austin",Austin Allen
barneau01,Austin Barnes,Austin,Barnes,12158,Austin Barnes,605131,Austin Barnes,2046041,Austin Barnes,barneau01,32856,Austin Barnes,69513,Austin Barnes,"Barnes, Austin",Austin Barnes
briceau01,Austin Brice,Austin,Brice,17237,Austin Brice,592169,Austin Brice,2118904,Austin Brice,briceau01,31722,Austin Brice,66940,Austin Brice,"Brice, Austin",Austin Brice
davisau01,Austin Davis,Austin,Davis,17117,Austin Davis,656354,Austin Davis,2822230,Austin Davis,davisau01,,Austin Davis,104760,Austin Davis,"Davis, Austin",Austin Davis
deanau01,Austin Dean,Austin,Dean,18288,Austin Dean,621573,Austin Dean,2118905,Austin Dean,deanau01,33532,Austin Dean,100671,Austin Dean,"Dean, Austin",Austin Dean
gombeau01,Austin Gomber,Austin,Gomber,16561,Austin Gomber,596295,Austin Gomber,2216698,Austin Gomber,gombeau01,34897,Austin Gomber,103789,Austin Gomber,"Gomber, Austin",Austin Gomber
haysau01,Austin Hays,Austin,Hays,19363,Austin Hays,669720,Austin Hays,2507192,Austin Hays,haysau01,36928,Austin Hays,107930,Austin Hays,"Hays, Austin",Austin Hays
hedgeau01,Austin Hedges,Austin,Hedges,12976,Austin Hedges,595978,Austin Hedges,1947852,Austin Hedges,hedgeau01,32168,Austin Hedges,70397,Austin Hedges,"Hedges, Austin",Austin Hedges
martiau01,Austin Martin,Austin,Martin,sa3014454,Austin Martin,668885,Austin Martin,2837172,Austin Martin,martiau01,,,127849,Austin Martin,"Martin, Austin",Austin Martin
meadoau01,Austin Meadows,Austin,Meadows,15672,Austin Meadows,640457,Austin Meadows,2068549,Austin Meadows,meadoau01,33197,Austin Meadows,102432,Austin Meadows,"Meadows, Austin",Austin Meadows
nolaau01,Austin Nola,Austin,Nola,15941,Austin Nola,543592,Austin Nola,2050477,Austin Nola,nolaau01,32961,Austin Nola,71054,Austin Nola,"Nola, Austin",Austin Nola
pruitau01,Austin Pruitt,Austin,Pruitt,15290,Austin Pruitt,643493,Austin Pruitt,2444516,Austin Pruitt,pruitau01,36061,Austin Pruitt,103484,Austin Pruitt,"Pruitt, Austin",Austin Pruitt
rileyau01,Austin Riley,Austin,Riley,18360,Austin Riley,663586,Austin Riley,2211186,Austin Riley,rileyau01,34982,Austin Riley,106744,Austin Riley,"Riley, Austin",Austin Riley
rominau01,Austin Romine,Austin,Romine,5491,Austin Romine,519222,Austin Romine,1495873,Austin Romine,rominau01,29470,Austin Romine,57520,Austin Romine,"Romine, Austin",Austin Romine
